,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
281,zadar,30.81,74,0,1.14,1643759337,HR,15.2422,44.1197
282,peniche,51.51,66,0,7.72,1643759337,PT,-9.3811,39.3558
283,aparecida do taboado,70.36,97,100,4.97,1643759337,BR,-51.0936,-20.0867
284,cao bang,49.3,90,100,1.36,1643759338,VN,106.25,22.6667
285,avera,53.46,69,0,8.46,1643759338,US,-82.5271,33.194
286,yerbogachen,-31.83,100,40,1.48,1643759254,RU,108.0108,61.2767
287,uglovskoye,0.54,86,90,5.19,1643759338,RU,80.1942,51.3557
288,kuito,61.84,71,100,4.79,1643759338,AO,16.9333,-12.3833
289,charters towers,87.26,58,100,8.55,1643759339,AU,146.2667,-20.1
290,novikovo,5.0,100,78,5.06,1643759339,RU,37.8879,51.1537
291,contai,66.09,85,5,1.34,1643759339,IN,87.7536,21.7786
292,shahrud,32.2,61,19,0.63,1643759340,IR,54.9763,36.4182
293,ixtapa,76.23,66,0,5.01,1643759340,MX,-105.2,20.7
294,bam,49.28,57,1,12.46,1643759340,IR,58.357,29.106
295,burnie,58.95,54,8,10.31,1643759340,AU,145.9167,-41.0667
296,damavand,25.56,51,0,7.81,1643759341,IR,52.065,35.7178
297,pangnirtung,-25.6,75,20,0.0,1643759341,CA,-65.7125,66.1451
298,petropavlovsk-kamchatskiy,30.79,100,100,24.61,1643759083,RU,158.6483,53.0452
299,soyo,77.94,87,58,7.27,1643759341,AO,12.3689,-6.1349
300,husavik,8.51,82,29,13.24,1643759060,IS,-17.3389,66.0449
301,botshabelo,65.57,78,100,4.16,1643759342,ZA,26.7052,-29.2702
302,tchibanga,72.75,95,91,1.7,1643759342,GA,11.0333,-2.85
303,ancud,60.85,91,100,5.59,1643759342,CL,-73.8203,-41.8697
304,beauceville,20.86,63,91,6.91,1643759342,CA,-70.7787,46.2179
305,yima,27.84,70,73,5.55,1643759343,CN,111.8839,34.7381
306,kantunilkin,69.73,80,59,3.65,1643759343,MX,-87.45,21.0917
307,torbay,22.21,61,40,13.8,1643759259,CA,-52.7314,47.6666
308,bambanglipuro,62.6,79,61,3.49,1643759343,ID,110.2833,-7.95
309,esperance,64.24,53,43,17.25,1643759344,AU,121.9,-33.8667
310,tigil,19.31,79,99,8.52,1643759344,RU,158.6667,57.8
311,poltavka,0.25,100,86,6.24,1643759344,RU,71.7632,54.3663
312,bundaberg,88.21,71,100,5.01,1643759221,AU,152.35,-24.85
313,mitsamiouli,81.59,76,100,4.83,1643759345,KM,43.2844,-11.3847
314,port-gentil,80.19,78,77,8.97,1643759345,GA,8.7815,-0.7193
315,lota,58.46,72,2,2.89,1643759345,CL,-73.1667,-37.0833
316,kahului,80.47,65,20,20.71,1643759345,US,-156.47,20.8947
317,busayra,42.69,54,0,6.55,1643759346,JO,35.6078,30.7376
318,namibe,72.23,69,79,10.87,1643759332,AO,12.1522,-15.1961
319,fairbanks,-9.62,72,0,0.0,1643759346,US,-147.7164,64.8378
320,westport,32.27,69,75,4.0,1643759346,US,-73.3579,41.1415
321,sand springs,60.04,74,75,3.44,1643759216,US,-96.1089,36.1398
322,prince rupert,37.49,75,40,0.0,1643759108,CA,-130.3201,54.3161
323,la ronge,-7.35,64,40,11.5,1643759347,CA,-105.2842,55.1001
324,urambo,63.21,96,100,0.96,1643759347,TZ,32.05,-5.0667
325,alyangula,84.07,74,100,9.22,1643759347,AU,136.4192,-13.8483
326,koslan,16.02,95,100,6.96,1643759348,RU,48.8989,63.4564
327,constantine,44.01,75,75,16.11,1643759348,DZ,6.6147,36.365
328,cabo san lucas,73.13,51,0,9.75,1643759271,MX,-109.9124,22.8909
329,bodden town,75.49,85,40,5.99,1643759348,KY,-81.25,19.2833
330,voyvozh,20.84,94,100,8.21,1643759349,RU,54.9635,62.892
331,gushikawa,62.47,88,100,6.91,1643759349,JP,127.8686,26.3544
332,egvekinot,-5.04,85,87,18.25,1643759349,RU,-179.1667,66.3167
333,hammerfest,21.65,49,0,12.66,1643759350,NO,23.6821,70.6634
334,bubaque,78.3,81,4,10.2,1643759275,GW,-15.8333,11.2833
